,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
335,Reward,0.15,0.7,0.1,0.1336,0.3403582156669318,113215_fnca,0.56,-1.2527977300752662,0.1820107351242724,-1.7036896094455423
193,Punishment,0.15,0.75,0.1,0.2464,0.4310866601587824,113215_fnca,0.1739130434782608,0.16814938438373397,0.39334206906928276,-0.933075640938987
336,Reward,0.15,0.75,0.1,0.2544,0.4356977232036034,113215_fnca,0.56,-0.7014037111623644,0.31194695669443884,-1.1649221162208414
194,Punishment,0.15,0.8,0.1,0.1424,0.3495997940686042,113215_fnca,0.1739130434782608,-0.09014033764584199,0.3973248092678063,-0.9230011734401259
337,Reward,0.15,0.8,0.1,0.1344,0.3412180883644094,113215_fnca,0.56,-1.2472961267676808,0.18326678483514539,-1.6968123471295018
195,Punishment,0.2,0.2,0.1,0.1856,0.3889391455319736,113215_fnca,0.1739130434782608,0.030048290731328368,0.39876221860114996,-0.91938998309261
338,Reward,0.2,0.2,0.1,0.1696,0.375431217241059,113215_fnca,0.56,-1.0398709059649929,0.23232819258511764,-1.4596042837409002
196,Punishment,0.2,0.25,0.1,0.1544,0.3614763783952006,113215_fnca,0.1739130434782608,-0.05398151758875727,0.39836144389565675,-0.9203955353252652
339,Reward,0.2,0.25,0.1,0.1528,0.3599386123267617,113215_fnca,0.56,-1.131304022560195,0.2103751467441988,-1.5588629289351117
197,Punishment,0.2,0.3,0.1,0.1968,0.397739006200854,113215_fnca,0.1739130434782608,0.05754265024281154,0.3982823466563826,-0.9205941115031558
340,Reward,0.2,0.3,0.1,0.204,0.4031302658061872,113215_fnca,0.56,-0.8830892398715459,0.27012733069230477,-1.308861835993125
198,Punishment,0.2,0.35,0.1,0.2024,0.4019496122558574,113215_fnca,0.1739130434782608,0.07087195920369758,0.39794162691164564,-0.9214499505053579
341,Reward,0.2,0.35,0.1,0.2032,0.4025411674763346,113215_fnca,0.56,-0.8863689700034875,0.269344645687234,-1.3117635086971944
199,Punishment,0.2,0.4,0.1,0.18,0.3843412214941714,113215_fnca,0.1739130434782608,0.015837376220212418,0.39889225169140086,-0.919063944447443
342,Reward,0.2,0.4,0.1,0.1832,0.3869852271764931,113215_fnca,0.56,-0.9736805788406805,0.24833777388599745,-1.392965468010434
200,Punishment,0.2,0.45,0.1,0.152,0.3591645853358702,113215_fnca,0.1739130434782608,-0.06101114745978919,0.3982004675229875,-0.9207997132618527
